normalized_name,dup_count,variants,ids
ab wheel rollout,2,"[""Ab Wheel Rollout"",""Ab Wheel Rollout""]","[""0551ab0c-a339-4c10-8541-10ab766d4359"",""f7b12879-00d1-4407-b0a4-c67772f2847e""]"
arnold press,2,"[""Arnold Press"",""Arnold Press""]","[""45461aee-5f58-4ecb-96ea-624616c2ed9a"",""e6406f9a-ed83-499e-b887-7811cb241f7e""]"
close-grip bench press,2,"[""Close-Grip Bench Press"",""Close-Grip Bench Press""]","[""540ddff7-afe7-455d-aa0f-2c2303d161f2"",""8b19c1e9-fb0f-41fb-b5f3-84bb0eec25ad""]"
front squat,2,"[""Front Squat"",""Front Squat""]","[""fdf33929-f92c-49b5-9bee-6f08534d8a63"",""cb461bfe-0964-4197-8f48-67357ae9bcca""]"
incline dumbbell press,2,"[""Incline Dumbbell Press"",""Incline Dumbbell Press""]","[""f33f60ad-7dca-475c-bff5-32070f26d90a"",""0baf5401-7495-4579-ab3e-d0b3f323dcc8""]"
lat pulldown,2,"[""Lat Pulldown"",""Lat Pulldown""]","[""ff2cd3d7-b834-463f-bc58-3c83e0948780"",""541f4395-3d0c-4110-b781-45697e3adcf6""]"
leg extension,2,"[""Leg Extension"",""Leg Extension""]","[""33b910ab-1d9e-4289-9e36-4ed2aec9a28b"",""2bf868b9-5e43-411b-a19e-129dab01597e""]"
leg press,2,"[""Leg Press"",""Leg Press""]","[""2b5c150c-630f-46ad-b7db-a8348be9867a"",""20f551e1-4a08-4c38-a9d4-9a9db13f470c""]"
overhead press,2,"[""Overhead Press"",""Overhead Press""]","[""f39a92d9-c243-4a99-838a-f5b6fdfd866a"",""43d87f0c-9b6b-48bf-bfcf-9e1b142062fd""]"
plank,2,"[""Plank"",""Plank""]","[""c4c9dfa2-f13f-4df7-ad37-339243896dd7"",""18b204d0-a9a3-42ed-83b6-4160dba2e470""]"
romanian deadlift,2,"[""Romanian Deadlift"",""Romanian Deadlift""]","[""6b95e112-5065-4594-ba02-864d2fdafc87"",""d031f8bf-5c22-44d5-8913-9b8edc561b57""]"
seated cable row,2,"[""Seated Cable Row"",""Seated Cable Row""]","[""32913f03-fe50-40b2-b7f6-ed602735a4ab"",""2852cdb6-c0a1-48ce-84fc-c47995ca7e90""]"
